"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2021","15,898.50","16,224.00","16,427.00","15,828.50","0.86K","-1.56%"
"Nov 30, 2021","16,150.50","16,419.00","16,456.25","16,068.75","7.39K","-1.47%"
"Nov 29, 2021","16,390.75","16,046.50","16,437.75","16,038.00","597.94K","2.12%"
"Nov 26, 2021","16,051.00","16,360.00","16,436.00","15,988.00","680.75K","-1.95%"
"Nov 25, 2021","16,370.75","16,392.25","16,396.00","16,359.50","74.73K","0.03%"
"Nov 24, 2021","16,366.00","16,300.25","16,368.50","16,102.00","656.27K","0.33%"
"Nov 23, 2021","16,312.00","16,399.00","16,418.75","16,118.50","901.45K","-0.43%"
"Nov 22, 2021","16,382.00","16,600.25","16,767.50","16,364.50","770.67K","-1.16%"
"Nov 19, 2021","16,575.00","16,503.25","16,628.50","16,490.25","549.03K","0.57%"
"Nov 18, 2021","16,481.25","16,322.50","16,508.00","16,303.50","602.24K","1.04%"
"Nov 17, 2021","16,311.50","16,297.75","16,396.50","16,270.00","455.99K","0.07%"
"Nov 16, 2021","16,300.75","16,198.50","16,323.75","16,142.00","424.38K","0.70%"
"Nov 15, 2021","16,187.75","16,212.25","16,276.50","16,082.25","483.87K","-0.03%"
"Nov 12, 2021","16,192.75","16,043.75","16,213.25","16,001.75","422.49K","1.06%"
"Nov 11, 2021","16,022.75","15,989.00","16,114.00","15,976.00","434.78K","0.26%"
"Nov 10, 2021","15,980.50","16,201.25","16,243.00","15,896.50","658.27K","-1.43%"
"Nov 09, 2021","16,212.75","16,315.50","16,391.75","16,160.00","2.24K","-0.70%"
"Nov 08, 2021","16,327.75","16,293.00","16,394.00","16,256.00","3.15K","-0.15%"
"Nov 05, 2021","16,351.75","16,335.00","16,448.50","16,292.00","520.38K","0.13%"
"Nov 04, 2021","16,330.75","16,129.50","16,376.00","16,129.50","5.59K","1.25%"
"Nov 03, 2021","16,129.75","15,957.75","16,145.75","15,935.25","9.00K","1.06%"
"Nov 02, 2021","15,961.25","15,891.00","15,980.25","15,849.50","3.43K","0.42%"
"Nov 01, 2021","15,894.25","15,885.25","15,914.75","15,768.50","4.94K","0.35%"
"Oct 29, 2021","15,838.50","15,679.75","15,864.75","15,595.50","480.46K","0.47%"
"Oct 28, 2021","15,764.75","15,595.00","15,777.00","15,591.75","8.99K","1.14%"
"Oct 27, 2021","15,587.25","15,532.25","15,717.50","15,507.25","7.33K","0.27%"
"Oct 26, 2021","15,545.00","15,543.00","15,701.00","15,503.00","7.88K","0.32%"
"Oct 25, 2021","15,495.75","15,324.25","15,546.00","15,295.75","5.87K","1.01%"
"Oct 22, 2021","15,341.00","15,383.00","15,463.50","15,273.75","540.93K","-0.89%"
"Oct 21, 2021","15,478.75","15,357.50","15,483.75","15,301.00","12.02K","0.66%"
"Oct 20, 2021","15,377.50","15,411.00","15,446.50","15,319.00","4.89K","-0.14%"
"Oct 19, 2021","15,398.50","15,289.75","15,428.25","15,269.00","6.26K","0.71%"
"Oct 18, 2021","15,290.50","15,145.00","15,297.25","15,038.75","6.66K","1.03%"
"Oct 15, 2021","15,134.50","15,063.75","15,145.00","15,020.75","430.52K","0.65%"
"Oct 14, 2021","15,037.25","14,770.25","15,071.50","14,767.50","6.21K","1.85%"
"Oct 13, 2021","14,764.25","14,594.00","14,795.75","14,591.00","556.06K","0.76%"
"Oct 12, 2021","14,653.25","14,688.50","14,783.25","14,585.50","6.45K","-0.32%"
"Oct 11, 2021","14,700.50","14,810.25","14,897.25","14,677.00","8.69K","-0.73%"
"Oct 08, 2021","14,808.25","14,891.25","14,996.00","14,790.75","547.51K","-0.49%"
"Oct 07, 2021","14,881.25","14,768.00","15,001.25","14,767.00","6.63K","0.83%"
"Oct 06, 2021","14,759.00","14,662.00","14,770.00","14,422.50","11.18K","0.71%"
"Oct 05, 2021","14,655.25","14,493.75","14,754.75","14,410.50","574.64K","1.33%"
"Oct 04, 2021","14,462.25","14,785.00","14,835.00","14,367.75","9.91K","-2.03%"
"Oct 01, 2021","14,761.75","14,702.25","14,818.00","14,537.00","657.09K","0.54%"
"Sep 30, 2021","14,682.50","14,769.75","14,883.50","14,670.25","9.14K","-0.39%"
"Sep 29, 2021","14,739.75","14,769.25","14,926.00","14,711.00","7.19K","-0.17%"
"Sep 28, 2021","14,764.75","15,172.25","15,192.25","14,740.75","7.73K","-2.83%"
"Sep 27, 2021","15,194.75","15,319.00","15,399.25","15,084.00","5.70K","-0.81%"
"Sep 24, 2021","15,318.75","15,300.25","15,334.25","15,176.75","470.51K","0.10%"
"Sep 23, 2021","15,303.50","15,178.25","15,347.00","15,175.25","4.53K","0.92%"
"Sep 22, 2021","15,163.50","14,992.75","15,227.00","14,930.50","595.84K","0.93%"
"Sep 21, 2021","15,024.00","14,992.00","15,163.25","14,963.25","657.00K","0.10%"
"Sep 20, 2021","15,009.50","15,284.00","15,338.25","14,807.50","834.32K","-3.08%"
"Sep 17, 2021","15,486.67","15,502.75","15,547.00","15,474.00","7.47K","-0.20%"
"Sep 16, 2021","15,517.75","15,516.50","15,542.00","15,369.50","105.43K","0.09%"
"Sep 15, 2021","15,504.00","15,395.50","15,521.75","15,315.25","156.77K","0.76%"
"Sep 14, 2021","15,387.00","15,452.25","15,530.75","15,351.25","237.82K","-0.32%"
"Sep 13, 2021","15,436.75","15,452.50","15,565.00","15,350.25","363.28K","-0.07%"
"Sep 11, 2021","15,447.75","15,447.80","15,447.80","15,447.75","396.89K","0.04%"
"Sep 10, 2021","15,441.50","15,561.00","15,668.00","15,433.50","402.82K","-0.75%"
"Sep 09, 2021","15,558.75","15,610.00","15,675.75","15,545.75","531.29K","-0.39%"
"Sep 08, 2021","15,620.00","15,671.00","15,691.00","15,523.75","559.40K","-0.35%"
"Sep 07, 2021","15,674.75","15,656.00","15,708.75","15,606.75","542.06K","-0.10%"
"Sep 06, 2021","15,691.00","15,652.75","15,707.75","15,642.75","59.75K","0.25%"
"Sep 05, 2021","15,652.25","15,655.00","15,663.50","15,652.25","2.79K","-0.02%"
"Sep 04, 2021","15,655.00","15,655.00","15,655.00","15,655.00","-","0.02%"
"Sep 03, 2021","15,651.50","15,601.00","15,677.50","15,552.25","462.87K","0.32%"
"Sep 02, 2021","15,601.00","15,610.00","15,682.00","15,551.75","463.64K","-0.05%"
"Sep 01, 2021","15,609.25","15,599.50","15,699.00","15,578.50","465.49K","0.17%"
"Aug 31, 2021","15,582.50","15,605.50","15,677.25","15,517.75","521.13K","-0.10%"
"Aug 30, 2021","15,597.50","15,432.75","15,617.75","15,420.00","417.56K","1.10%"
"Aug 28, 2021","15,428.25","15,428.20","15,428.25","15,428.20","435.91K","0.01%"
"Aug 27, 2021","15,426.50","15,286.00","15,443.75","15,265.50","441.05K","0.99%"
"Aug 26, 2021","15,274.75","15,367.25","15,368.25","15,255.25","564.38K","-0.58%"
"Aug 25, 2021","15,364.25","15,362.25","15,397.00","15,333.00","405.23K","0.06%"
"Aug 24, 2021","15,355.50","15,327.00","15,384.00","15,309.50","365.58K","0.33%"
"Aug 23, 2021","15,304.50","15,090.00","15,337.50","15,086.50","412.59K","1.39%"
"Aug 21, 2021","15,095.00","15,095.00","15,095.00","15,095.00","-","0.05%"
"Aug 20, 2021","15,086.75","14,943.25","15,100.00","14,851.00","504.46K","1.06%"
"Aug 19, 2021","14,928.00","14,840.00","14,999.00","14,710.50","734.18K","0.53%"
"Aug 18, 2021","14,849.25","14,970.25","15,037.25","14,806.50","568.85K","-0.99%"
"Aug 17, 2021","14,997.50","15,131.50","15,133.75","14,897.00","687.90K","-0.90%"
"Aug 16, 2021","15,134.00","15,119.25","15,139.00","14,917.25","590.79K","0.08%"
"Aug 14, 2021","15,122.00","15,122.00","15,122.00","15,122.00","-","-0.02%"
"Aug 13, 2021","15,125.75","15,079.75","15,141.75","15,055.25","364.52K","0.31%"
"Aug 12, 2021","15,078.50","15,008.50","15,090.50","14,941.25","384.24K","0.39%"
"Aug 11, 2021","15,019.50","15,045.00","15,119.00","14,963.00","479.70K","-0.17%"
"Aug 10, 2021","15,044.50","15,128.75","15,157.25","14,994.50","475.30K","-0.53%"
"Aug 09, 2021","15,125.25","15,090.25","15,145.50","15,003.25","361.39K","0.20%"
"Aug 06, 2021","15,095.50","15,167.75","15,169.75","15,047.25","425.07K","-0.48%"
"Aug 05, 2021","15,167.75","15,081.75","15,172.50","15,069.25","341.55K","0.63%"
"Aug 04, 2021","15,073.50","15,038.00","15,108.00","14,997.00","445.70K","0.18%"
"Aug 03, 2021","15,046.25","14,962.25","15,050.00","14,849.00","520.38K","0.63%"
"Aug 02, 2021","14,952.75","14,972.75","15,056.25","14,932.25","446.14K","-0.09%"
"Jul 31, 2021","14,966.50","14,966.50","14,966.50","14,966.50","-","0.07%"
