"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2021","26.48","24.98","27.90","22.58","-","3.09%"
"Nov 30, 2021","25.69","22.45","25.80","22.01","176.45K","15.68%"
"Nov 29, 2021","22.20","25.75","25.80","21.40","157.37K","-16.34%"
"Nov 26, 2021","26.54","20.25","27.00","20.05","209.64K","29.60%"
"Nov 25, 2021","20.48","20.23","20.53","20.02","-","0.65%"
"Nov 24, 2021","20.35","20.70","21.60","20.15","83.06K","-1.05%"
"Nov 23, 2021","20.56","21.00","21.60","20.50","88.43K","-2.79%"
"Nov 22, 2021","21.15","20.70","21.26","20.15","75.27K","1.70%"
"Nov 19, 2021","20.80","20.50","21.10","20.20","71.62K","1.46%"
"Nov 18, 2021","20.50","20.30","20.75","20.00","54.22K","25.46%"
"Nov 17, 2021","16.34","19.95","20.45","19.82","-","-2.73%"
"Nov 16, 2021","16.80","17.00","17.38","16.15","55.99K","-1.19%"
"Nov 15, 2021","17.00","17.40","17.88","16.93","55.47K","-2.39%"
"Nov 12, 2021","17.42","18.65","18.70","17.40","61.22K","-7.15%"
"Nov 11, 2021","18.76","19.65","19.70","18.35","61.53K","-3.93%"
"Nov 10, 2021","19.53","18.95","20.30","18.45","111.73K","3.32%"
"Nov 09, 2021","18.90","18.40","19.60","18.40","91.12K","2.19%"
"Nov 08, 2021","18.49","18.45","18.95","17.95","72.75K","0.30%"
"Nov 05, 2021","18.44","17.35","18.55","17.00","98.15K","5.95%"
"Nov 04, 2021","17.40","17.22","17.80","16.83","71.71K","1.73%"
"Nov 03, 2021","17.11","17.90","18.15","17.00","61.91K","-4.16%"
"Nov 02, 2021","17.85","18.45","18.66","17.81","44.99K","-2.99%"
"Nov 01, 2021","18.40","18.75","19.26","18.35","49.12K","-2.02%"
"Oct 29, 2021","18.78","18.95","19.55","18.65","60.18K","0.69%"
"Oct 28, 2021","18.65","19.30","19.35","18.60","52.07K","-3.61%"
"Oct 27, 2021","19.35","18.95","19.50","18.40","77.33K","2.25%"
"Oct 26, 2021","18.92","18.60","19.40","18.25","60.97K","2.02%"
"Oct 25, 2021","18.55","19.25","19.45","18.50","48.51K","-2.89%"
"Oct 22, 2021","19.10","18.95","19.60","18.55","67.02K","2.16%"
"Oct 21, 2021","18.70","19.35","19.70","18.65","55.51K","21.81%"
"Oct 20, 2021","15.35","16.00","16.15","15.75","0.81K","-3.85%"
"Oct 19, 2021","15.96","16.80","16.90","15.90","42.92K","-3.93%"
"Oct 18, 2021","16.62","17.05","17.81","16.55","54.05K","-3.23%"
"Oct 15, 2021","17.17","17.66","17.77","16.75","48.80K","-2.44%"
"Oct 14, 2021","17.60","19.18","19.18","17.57","-","-8.09%"
"Oct 13, 2021","19.15","20.10","20.20","19.10","66.69K","-2.87%"
"Oct 12, 2021","19.72","20.20","20.80","19.43","63.01K","-2.15%"
"Oct 11, 2021","20.15","19.90","20.60","19.00","65.38K","2.20%"
"Oct 08, 2021","19.72","20.15","20.37","19.38","68.07K","-1.91%"
"Oct 07, 2021","20.10","21.30","21.31","20.00","64.99K","-5.26%"
"Oct 06, 2021","21.22","21.60","23.55","21.15","109.56K","-2.47%"
"Oct 05, 2021","21.75","22.75","23.55","21.10","84.14K","-4.09%"
"Oct 04, 2021","22.68","21.65","23.61","21.25","108.05K","3.12%"
"Oct 01, 2021","21.99","23.00","24.05","21.30","111.76K","-3.82%"
"Sep 30, 2021","22.87","22.70","23.45","21.63","108.20K","-0.54%"
"Sep 29, 2021","22.99","22.80","23.16","21.70","100.08K","2.10%"
"Sep 28, 2021","22.52","20.35","23.15","20.00","193.66K","11.98%"
"Sep 27, 2021","20.11","19.75","20.40","19.30","66.31K","1.46%"
"Sep 24, 2021","19.82","20.60","21.36","19.75","81.93K","-3.79%"
"Sep 23, 2021","20.60","21.96","22.05","20.45","100.65K","-6.79%"
"Sep 22, 2021","22.10","23.90","24.48","21.64","116.24K","-5.68%"
"Sep 21, 2021","23.43","24.70","25.03","23.10","141.55K","-4.22%"
"Sep 20, 2021","24.46","22.15","26.75","21.98","-","11.51%"
"Sep 17, 2021","21.94","20.69","22.35","20.39","103.02K","6.72%"
"Sep 16, 2021","20.56","20.80","21.41","20.34","68.49K","3.87%"
"Sep 15, 2021","19.79","19.50","19.83","18.95","1.05K","0.38%"
"Sep 14, 2021","19.72","19.30","20.40","18.65","62.00K","2.16%"
"Sep 13, 2021","19.30","20.40","20.80","19.05","77.78K","-6.43%"
"Sep 10, 2021","20.62","19.50","20.71","18.10","92.67K","6.47%"
"Sep 09, 2021","19.37","19.10","20.10","18.33","85.18K","3.23%"
"Sep 08, 2021","18.77","18.90","20.15","18.70","80.28K","-0.35%"
"Sep 07, 2021","18.83","18.30","19.30","17.90","68.70K","4.04%"
"Sep 06, 2021","18.10","18.45","18.58","17.92","-","-1.74%"
"Sep 05, 2021","18.42","18.28","18.48","18.25","-","0.37%"
"Sep 03, 2021","18.35","18.05","18.65","17.85","63.46K","2.17%"
