"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2021","1,095.00","1,162.80","1,171.59","1,091.40","22.50M","-4.35%"
"Nov 30, 2021","1,144.76","1,144.37","1,168.00","1,118.00","26.51M","0.68%"
"Nov 29, 2021","1,136.99","1,100.99","1,142.67","1,100.19","19.19M","5.09%"
"Nov 26, 2021","1,081.92","1,099.47","1,108.78","1,081.00","11.67M","-3.05%"
"Nov 24, 2021","1,116.00","1,080.39","1,132.77","1,062.00","22.56M","0.63%"
"Nov 23, 2021","1,109.03","1,167.51","1,180.50","1,062.70","35.99M","-4.14%"
"Nov 22, 2021","1,156.87","1,162.33","1,201.95","1,132.43","32.38M","1.74%"
"Nov 19, 2021","1,137.06","1,098.87","1,138.72","1,092.70","21.64M","3.71%"
"Nov 18, 2021","1,096.38","1,106.55","1,112.00","1,075.02","20.90M","0.68%"
"Nov 17, 2021","1,089.01","1,063.51","1,119.64","1,055.50","31.01M","3.25%"
"Nov 16, 2021","1,054.73","1,003.31","1,057.20","1,002.18","26.31M","4.08%"
"Nov 15, 2021","1,013.39","1,017.63","1,031.98","978.60","34.35M","-1.94%"
"Nov 12, 2021","1,033.42","1,047.50","1,054.50","1,019.20","25.57M","-2.83%"
"Nov 11, 2021","1,063.51","1,102.77","1,104.97","1,054.68","22.17M","-0.42%"
"Nov 10, 2021","1,067.95","1,010.41","1,078.10","987.31","41.79M","4.34%"
"Nov 09, 2021","1,023.50","1,173.60","1,174.50","1,011.52","58.53M","-11.99%"
"Nov 08, 2021","1,162.94","1,149.79","1,197.00","1,133.00","32.85M","-4.84%"
"Nov 05, 2021","1,222.09","1,228.00","1,239.87","1,208.00","21.63M","-0.64%"
"Nov 04, 2021","1,229.91","1,234.41","1,243.49","1,217.00","25.21M","1.32%"
"Nov 03, 2021","1,213.86","1,177.33","1,215.39","1,152.62","34.03M","3.57%"
"Nov 02, 2021","1,172.00","1,159.35","1,208.59","1,146.00","42.45M","-3.03%"
"Nov 01, 2021","1,208.59","1,145.00","1,209.75","1,118.66","54.89M","8.49%"
"Oct 29, 2021","1,114.00","1,081.86","1,115.21","1,073.20","29.92M","3.43%"
"Oct 28, 2021","1,077.04","1,068.31","1,081.00","1,054.20","26.77M","3.78%"
"Oct 27, 2021","1,037.86","1,039.66","1,070.88","1,030.78","38.04M","1.91%"
"Oct 26, 2021","1,018.43","1,024.69","1,094.94","1,001.44","61.94M","-0.63%"
"Oct 25, 2021","1,024.86","950.53","1,045.02","944.20","62.21M","12.66%"
"Oct 22, 2021","909.68","895.50","910.00","890.96","22.88M","1.75%"
"Oct 21, 2021","894.00","856.00","900.00","855.50","31.28M","3.26%"
"Oct 20, 2021","865.80","865.35","869.49","857.38","13.15M","0.18%"
"Oct 19, 2021","864.27","877.53","877.95","862.51","17.27M","-0.67%"
"Oct 18, 2021","870.11","851.79","875.26","851.47","23.23M","3.21%"
"Oct 15, 2021","843.03","823.74","843.21","822.35","18.92M","3.02%"
"Oct 14, 2021","818.32","815.49","820.25","813.35","11.89M","0.89%"
"Oct 13, 2021","811.08","810.47","815.41","805.78","14.12M","0.67%"
"Oct 12, 2021","805.72","800.93","812.32","796.57","21.63M","1.74%"
"Oct 11, 2021","791.94","787.65","801.24","785.50","14.11M","0.82%"
"Oct 08, 2021","785.49","796.21","796.38","780.91","16.74M","-1.02%"
"Oct 07, 2021","793.61","785.46","805.00","783.38","18.89M","1.39%"
"Oct 06, 2021","782.75","776.20","786.66","773.22","14.33M","0.28%"
"Oct 05, 2021","780.59","784.80","797.31","774.20","18.43M","-0.12%"
"Oct 04, 2021","781.53","796.50","806.97","776.12","30.34M","0.81%"
"Oct 01, 2021","775.22","778.40","780.78","763.59","17.03M","-0.03%"
"Sep 30, 2021","775.48","781.00","789.13","775.00","17.80M","-0.75%"
"Sep 29, 2021","781.31","779.80","793.50","770.68","20.65M","0.48%"
"Sep 28, 2021","777.56","787.20","795.64","766.18","24.86M","-1.74%"
"Sep 27, 2021","791.36","773.12","799.00","769.31","27.75M","2.19%"
"Sep 24, 2021","774.39","745.89","774.80","744.56","21.37M","2.75%"
"Sep 23, 2021","753.64","755.00","758.20","747.92","11.90M","0.23%"
"Sep 22, 2021","751.94","743.53","753.67","739.12","14.53M","1.70%"
"Sep 21, 2021","739.38","734.79","744.74","730.44","16.23M","1.26%"
"Sep 20, 2021","730.17","734.56","742.00","718.62","24.40M","-3.86%"
"Sep 17, 2021","759.49","757.15","761.04","750.00","28.20M","0.33%"
"Sep 16, 2021","756.99","752.83","758.91","747.61","13.60M","0.15%"
"Sep 15, 2021","755.83","745.00","756.86","738.36","15.27M","1.52%"
"Sep 14, 2021","744.49","742.57","754.47","736.40","18.37M","0.20%"
"Sep 13, 2021","743.00","740.21","744.78","708.85","22.86M","0.91%"
"Sep 10, 2021","736.27","759.60","762.61","734.52","15.18M","-2.46%"
"Sep 09, 2021","754.86","753.41","762.10","751.63","13.85M","0.13%"
"Sep 08, 2021","753.87","761.58","764.45","740.77","18.72M","0.13%"
"Sep 07, 2021","752.92","740.00","760.20","739.26","19.77M","2.64%"
"Sep 03, 2021","733.57","732.25","734.00","724.20","15.27M","0.16%"
"Sep 02, 2021","732.39","734.50","740.97","730.54","12.74M","-0.23%"
"Sep 01, 2021","734.09","734.08","741.99","731.27","12.68M","-0.22%"
"Aug 31, 2021","735.72","733.00","740.39","726.44","20.47M","0.66%"
"Aug 30, 2021","730.91","714.72","731.00","712.73","18.37M","2.67%"
"Aug 27, 2021","711.92","705.00","715.00","702.10","13.83M","1.53%"
"Aug 26, 2021","701.16","708.31","715.40","697.62","13.10M","-1.41%"
"Aug 25, 2021","711.20","707.03","716.97","704.00","12.47M","0.38%"
"Aug 24, 2021","708.49","710.68","715.22","702.64","12.79M","0.31%"
"Aug 23, 2021","706.30","685.44","712.13","680.75","20.09M","3.83%"
"Aug 20, 2021","680.26","682.85","692.13","673.70","14.84M","1.01%"
"Aug 19, 2021","673.47","678.21","686.55","667.59","14.13M","-2.25%"
"Aug 18, 2021","688.99","669.75","695.77","669.35","20.18M","3.50%"
"Aug 17, 2021","665.71","672.66","674.58","648.84","23.40M","-2.98%"
"Aug 16, 2021","686.17","705.07","709.50","676.40","22.66M","-4.32%"
"Aug 13, 2021","717.17","723.71","729.90","714.34","16.73M","-0.70%"
"Aug 12, 2021","722.25","706.34","722.80","699.40","17.46M","2.04%"
"Aug 11, 2021","707.82","712.71","715.18","704.21","9.74M","-0.31%"
"Aug 10, 2021","709.99","713.76","716.40","702.05","13.43M","-0.53%"
"Aug 09, 2021","713.76","710.16","718.90","705.13","14.72M","2.10%"
"Aug 06, 2021","699.10","711.90","716.33","697.63","15.62M","-2.17%"
"Aug 05, 2021","714.63","716.00","720.93","711.60","12.92M","0.52%"
"Aug 04, 2021","710.92","710.80","724.71","709.00","17.00M","0.17%"
"Aug 03, 2021","709.74","719.10","722.25","701.13","21.62M","0.01%"
"Aug 02, 2021","709.67","699.35","726.85","698.57","33.62M","3.27%"
