,Date,Bitcoin_prices,EUR USD prices,Gold prices,Nasdaq prices,SP 500 prices,SP 500 VIX prices,Tesla prices
0,2012-02-02,"6,1","1,3146","1756,80","2491,50","1322,75","19,13","6,05"
1,2012-02-03,"6,0","1,3144","1737,90","2523,00","1339,00","17,92","6,23"
2,2012-02-04,"5,9","1,3144","1737,90","2523,00","1339,00","17,92","6,23"
3,2012-02-05,"5,7","1,3144","1737,90","2523,00","1339,00","17,92","6,23"
4,2012-02-06,"5,4","1,3134","1722,80","2525,75","1339,00","18,08","6,36"
5,2012-02-07,"5,7","1,3266","1746,40","2529,25","1344,75","18,33","6,32"
6,2012-02-08,"5,6","1,3258","1729,30","2544,75","1347,00","19,1","6,39"
7,2012-02-09,"5,8","1,3283","1739,00","2561,00","1348,25","19,98","6,52"
8,2012-02-10,"5,9","1,3175","1723,30","2548,50","1340,50","21,63","6,22"
9,2012-02-11,"5,6","1,3175","1723,30","2548,50","1340,50","21,63","6,22"
10,2012-02-12,"5,5","1,3175","1723,30","2548,50","1340,50","21,63","6,22"
11,2012-02-13,"5,3","1,3194","1723,00","2567,75","1349,00","21,9","6,30"
12,2012-02-14,"4,5","1,3119","1715,90","2576,00","1347,75","22,42","6,63"
13,2012-02-15,"4,3","1,3071","1726,30","2557,50","1342,25","24,23","6,72"
14,2012-02-16,"4,3","1,3141","1726,80","2593,50","1354,75","22,77","6,84"
15,2012-02-17,"4,4","1,3152","1724,50","2582,00","1359,75","22,58","6,99"
16,2012-02-18,"4,2","1,3152","1724,50","2582,00","1359,75","22,58","6,99"
17,2012-02-19,"4,4","1,3152","1724,50","2582,00","1359,75","22,58","6,99"
18,2012-02-20,"4,4","1,324","1724,50","2582,00","1359,75","22,58","6,99"
19,2012-02-21,"4,3","1,3241","1757,10","2591,00","1360,00","22,52","6,90"
20,2012-02-22,"4,4","1,3245","1770,00","2578,75","1356,00","21,83","6,84"
21,2012-02-23,"5,0","1,3369","1784,90","2600,75","1363,00","20,25","6,91"
22,2012-02-24,"5,0","1,3457","1775,10","2601,50","1363,25","21,17","6,75"
23,2012-02-25,"4,8","1,3457","1775,10","2601,50","1363,25","21,17","6,75"
24,2012-02-26,"4,9","1,3457","1775,10","2601,50","1363,25","21,17","6,75"
